order,seasonal,score,score_std,seasonal_period
"(0, 0, 0)","(1, 0, 1, 7)",14.072268169670513,7.2778955194065,7
"(0, 0, 1)","(1, 0, 1, 7)",14.241055321324113,7.010825315662033,7
"(0, 0, 2)","(1, 0, 1, 5)",14.707448621391968,5.480723049193757,5
"(0, 0, 2)","(1, 0, 0, 5)",14.937410226544847,3.2283369716624777,5
"(1, 0, 2)","(1, 0, 1, 7)",15.449963484919408,10.820141749717058,7
"(0, 0, 2)","(1, 0, 1, 7)",15.641666906159577,6.997566105159298,7
"(1, 0, 0)","(1, 0, 1, 7)",15.833060638641884,8.63429814198847,7
"(2, 0, 1)","(1, 0, 1, 7)",15.840778040250543,7.826035355785068,7
"(0, 0, 1)","(1, 0, 1, 5)",15.870216385333686,9.621485131508452,5
"(1, 0, 1)","(1, 0, 1, 7)",16.020979938307143,7.669427882523921,7
"(2, 0, 0)","(1, 0, 1, 7)",16.082414099733196,7.685579737276124,7
"(0, 0, 0)","(1, 0, 1, 5)",16.217854998864116,10.334785504735958,5
"(2, 0, 2)","(1, 0, 1, 7)",16.268180199328633,9.92123541297661,7
"(2, 0, 1)","(1, 0, 0, 7)",16.361613839975444,8.398931888657632,7
"(2, 1, 1)","(0, 0, 0, 7)",16.5115953509318,9.81778420973303,7
"(2, 1, 1)","(0, 0, 0, 5)",16.5115953509318,9.81778420973303,5
"(2, 1, 1)","(0, 0, 0, 20)",16.5115953509318,9.81778420973303,20
"(2, 1, 1)","(1, 0, 0, 5)",16.513122197498458,9.812131266150683,5
"(2, 0, 0)","(1, 0, 0, 7)",16.516484361359897,8.477967465537596,7
"(2, 0, 2)","(1, 0, 0, 7)",16.55521255526996,9.450786822865432,7
