Company,Company_Name,Best_Model,SARIMAX_MAPE,XGBoost_MAPE,Best_MAPE,Was_Split,Split_Ratio,Use_Log,Use_Diff,Training_Size,Testing_Size
MCPL.N0000,Mahaweli Coconut Plantations PLC,XGBoost,13.68,1.84,1.84,False,1.0,False,False,648,163
WATA.N0000,Watawala Plantations PLC,XGBoost,1706.98,990.99,990.99,True,5.0,False,False,721,181
AGPL.N0000,Agarapatana Plantations PLC,XGBoost,14.89,8.15,8.15,False,1.0,True,False,409,103
HAPU.N0000,Hapugastenne Plantations PLC,XGBoost,12.79,1.39,1.39,False,1.0,False,False,678,170
KOTA.N0000,Kotagala Plantations PLC,XGBoost,7.28,1.13,1.13,False,1.0,False,False,724,182
BFL.N0000,Bairaha Farms PLC,SARIMAX,16.82,57.89,16.82,True,5.0,True,False,722,181
RWSL.N0000,Raigam Wayamba Salterns PLC,XGBoost,30.68,28.77,28.77,False,1.0,True,False,723,181
DIPP.N0000,Dipped Products PLC,XGBoost,9.48,8.14,8.14,False,1.0,True,False,724,181
MGT.N0000,Hayleys Fabric PLC,XGBoost,22.1,0.65,0.65,False,1.0,False,False,724,182
HEXP.N0000,Hayleys Fibre PLC,XGBoost,16.52,4.18,4.18,False,1.0,False,False,717,180
