Company,Company_Name,Best_Model,Best_MAPE,XGBoost_MAPE,SARIMAX_MAPE,Ensemble_MAPE,Was_Split,Split_Ratio,Train_Size,Test_Size
MCPL.N0000,Mahaweli Coconut Plantations PLC,XGBoost,4.57,4.57,14.38,6.63,False,1.0,632,159
WATA.N0000,Watawala Plantations PLC,SARIMAX,12.13,24.82,12.13,15.85,True,5.0,705,177
AGPL.N0000,Agarapatana Plantations PLC,Ensemble,4.69,7.49,29.02,4.69,False,1.0,393,99
HAPU.N0000,Hapugastenne Plantations PLC,XGBoost,1.4,1.4,11.27,2.08,False,1.0,662,166
KOTA.N0000,Kotagala Plantations PLC,Ensemble,1.15,1.89,7.67,1.15,False,1.0,708,178
BFL.N0000,Bairaha Farms PLC,Ensemble,14.04,18.46,17.11,14.04,True,5.0,706,177
RWSL.N0000,Raigam Wayamba Salterns PLC,SARIMAX,31.3,31.77,31.3,31.68,False,1.0,707,177
DIPP.N0000,Dipped Products PLC,XGBoost,3.05,3.05,6.91,3.85,False,1.0,708,177
MGT.N0000,Hayleys Fabric PLC,XGBoost,0.65,0.65,26.36,0.99,False,1.0,708,178
HEXP.N0000,Hayleys Fibre PLC,XGBoost,5.5,5.5,16.99,8.51,False,1.0,701,176
